Neighborhood,Earnings
Allapattah,25.700
Arts & Entertainment District,70.597
Brickell,44.154
Buena Vista,33.666
Coconut Grove,77.685
Coral Way,41.603
Design District,53.203
Downtown,38.001
Edgewater,37.205
Flagami,37.708
Grapeland Heights,24.332
Liberty City,24.596
Little Haiti,32.470
Little Havana,26.881
Lumnus Park,23.681
Midtown,33.833
Overtown,24.779
Park West,22.292
The Roads,39.173
Upper Eastside,44.964
Venetian Islands,107.222
Virginia Key,35.231
West Flagler,37.020
Wynwood,36.159
